item_id,stage,milestone_id,org_id,outcome,first_fired.process_tracked,first_fired.hollow_owner,first_fired.gate_unassigned,first_fired.cross_org,first_fired.prior_slip,first_fired.org_overcommitted,first_fired.late_target
k8s:kep-2086,alpha,k8s:v1.21,k8s:sig-network,shipped,2021-01-11T23:59:59+00:00,,,,,2021-01-11T23:59:59+00:00,
k8s:kep-2133,beta,k8s:v1.21,k8s:sig-node,slipped,2021-01-11T23:59:59+00:00,,,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-2155,alpha,k8s:v1.21,k8s:sig-api-machinery,shipped,,,2021-02-15T23:59:59+00:00,,,2021-02-08T23:59:59+00:00,2021-02-08T23:59:59+00:00
k8s:kep-2155,beta,k8s:v1.21,k8s:sig-api-machinery,shipped,,,2021-02-15T23:59:59+00:00,,,2021-02-08T23:59:59+00:00,2021-02-08T23:59:59+00:00
k8s:kep-2155,stable,k8s:v1.21,k8s:sig-api-machinery,shipped,,,,,,2021-02-08T23:59:59+00:00,2021-02-08T23:59:59+00:00
k8s:kep-2161,beta,k8s:v1.21,k8s:sig-api-machinery,unresolved,,,,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00
k8s:kep-2185,alpha,k8s:v1.21,k8s:sig-apps,shipped,,,,2021-02-08T23:59:59+00:00,,,2021-02-08T23:59:59+00:00
k8s:kep-2200,stable,k8s:v1.21,k8s:sig-network,shipped,,,,2021-02-01T23:59:59+00:00,,2021-02-01T23:59:59+00:00,2021-02-01T23:59:59+00:00
k8s:kep-2214,alpha,k8s:v1.21,k8s:sig-apps,shipped,,,,,,,2021-02-01T23:59:59+00:00
k8s:kep-2227,alpha,k8s:v1.21,k8s:sig-cli,shipped,,,,,,,2021-02-08T23:59:59+00:00
k8s:kep-2232,alpha,k8s:v1.21,k8s:sig-apps,shipped,,,,,,,2021-02-08T23:59:59+00:00
k8s:kep-2238,alpha,k8s:v1.21,k8s:sig-node,exception_granted,,,,,,2021-02-08T23:59:59+00:00,2021-02-08T23:59:59+00:00
k8s:kep-2249,alpha,k8s:v1.21,k8s:sig-scheduling,unresolved,,,,2021-02-08T23:59:59+00:00,,,2021-02-08T23:59:59+00:00
k8s:kep-2255,alpha,k8s:v1.21,k8s:sig-apps,shipped,2021-01-18T23:59:59+00:00,,,,,,
k8s:kep-2307,alpha,k8s:v1.21,k8s:sig-apps,slipped,2021-02-08T23:59:59+00:00,2021-02-08T23:59:59+00:00,,,,,2021-02-08T23:59:59+00:00
k8s:kep-2317,alpha,k8s:v1.21,k8s:sig-storage,slipped,,,,,,2021-02-08T23:59:59+00:00,2021-02-08T23:59:59+00:00
k8s:kep-2365,alpha,k8s:v1.21,k8s:sig-network,shipped,2021-02-08T23:59:59+00:00,,,,,2021-02-08T23:59:59+00:00,2021-02-08T23:59:59+00:00
k8s:kep-2403,alpha,k8s:v1.21,k8s:sig-node,unresolved,,,,,,2021-02-08T23:59:59+00:00,2021-02-08T23:59:59+00:00
